deal_id;deal_name;company;owner;hubspot_owner_id;stage;amount_usd;close_date;days_in_stage;last_activity_date;last_activity_days_ago;Risk_>45_days;Risk_>60_days;Risk_>90_days;last_activity_type;region;product_line;industry;forecast_category;probability;contact_count;email_log_count;task_count;meeting_count;engagement_score;source;google_deal_type;deal_created_date;last_modified_date;invoice_date;invoice_amount_usd; invoice_amount_local ;currency;payment_status;payment_date;payment_method;days_overdue;invoice_type;tax_id;margin_percent
D-2401;Deal 1 - Opportunity;Client_1;Carlos Ruiz;HO-2424;Discovery;65563;1/08/26;95;23/03/26;58;si;no;si;Demo;Argentina;Hardware;Healthcare;Pipeline;13;13;1;0;1;27;Partner;N/A;14/04/26;15/04/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2402;Deal 2 - Opportunity;Client_2;Roberto Sanchez;HO-7924;Proposal;143346;30/05/26;98;29/03/26;52;si;no;si;Call;Venezuela;Hardware;Energy;Best Case;85;10;8;4;3;97;Sales Development;Google Cloud;28/03/26;26/04/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2403;Deal 3 - Opportunity;Client_3;Unassigned;;Negotiation;75879;28/06/26;16;30/12/25;141;si;si;si;Email;Ecuador;Support;Technology;Best Case;69;9;26;20;9;46;Referral;Google Workspace;3/04/26;18/05/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2404;Deal 4 - Opportunity;Client_4;Luis Vargas;HO-7065;Qualification;95819;19/07/26;107;26/04/26;24;no;no;si;Call;Peru;Hardware;Retail;Pipeline;39;11;6;8;10;82;Inbound;N/A;8/03/26;16/04/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2405;Deal 5 - Opportunity;Client_5;Sofia Martinez;HO-4752;Negotiation;56523;8/06/26;88;29/04/26;21;no;no;si;Email;Bolivia;Consulting;Technology;Best Case;75;1;25;10;6;34;Inbound;Google Workspace;26/11/25;25/03/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2406;Deal 6 - Opportunity;Client_6;Pedro Gonzalez;HO-9830;Proposal;56519;7/06/26;32;2/04/26;48;si;no;si;Demo;Bolivia;Consulting;Insurance;Best Case;68;8;23;18;6;74;Event;Google Marketing;23/02/26;12/05/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2407;Deal 7 - Opportunity;Client_7;Maria Lopez;HO-7304;Proposal;43877;12/07/26;55;11/04/26;39;no;no;si;Email;Colombia;Cloud Solutions;Manufacturing;Best Case;85;12;19;14;8;32;Referral;Google Cloud;22/03/26;7/04/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2408;Deal 8 - Opportunity;Client_8;Luis Vargas;HO-5315;Qualification;306507;9/06/26;93;24/03/26;57;si;no;si;Proposal Sent;Ecuador;Cloud Solutions;Technology;Pipeline;39;5;16;3;10;38;Existing Client;N/A;1/03/26;11/05/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2409;Deal 9 - Opportunity;Client_9;Sofia Martinez;HO-6038;Proposal;64100;31/05/26;15;21/03/26;60;si;no;si;Task;Paraguay;Support;Financial;Best Case;75;7;1;7;9;10;Inbound;Partner Opportunity;3/04/26;2/04/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2410;Deal 10 - Opportunity;Client_10;Sofia Martinez;HO-9835;Discovery;150372;13/08/26;78;22/04/26;28;no;no;si;Call;Mexico;Consulting;Education;Pipeline;26;6;22;9;6;85;Existing Client;Google Marketing;29/12/25;24/03/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
